Dataset,Configuration,Seed,Accuracy,Precision,Recall,Macro-F1,Decision latency (s),Adaptation time (steps),Detection delay (steps)
AI4I,Full,13,0.9199999999908,0.9999999999891304,0.9199999999908,0.4791666664121093,0.04007617009299383,10.09707820542377,2.212721710178356
AI4I,Full,42,0.9599999999904,0.9999999999895833,0.9599999999904,0.4897959181124531,0.01841527093516943,5.402447706192507,4.0129456572350435
AI4I,Full,87,0.9399999999905999,0.9999999999893616,0.9399999999905999,0.48453608221947064,0.015590993976385399,8.340755714802649,4.116901913772672
AI4I,Full,123,0.9499999999905,0.9999999999894736,0.9499999999905,0.48717948692465485,0.03739762550777772,10.316525331421627,2.5962398481474795
AI4I,Full,2024,0.9399999999905999,0.9999999999893616,0.9399999999905999,0.48453608221947064,0.040190668383083446,12.20395085115113,1.514619278923527
AI4I,-coordination,13,0.8739999999912599,0.9999999999891304,0.9199999999908,0.4552083330915038,0.07536740470926515,13.03180427544589,3.743177272883573
AI4I,-coordination,42,0.9119999999908799,0.9999999999895833,0.9599999999904,0.46530612220683043,0.03962261405374695,17.53236414308761,5.126776371643419
AI4I,-coordination,87,0.8929999999910698,0.9999999999893616,0.9399999999905999,0.4603092781084971,0.04561326112079335,17.79225478443168,7.771552111218483
AI4I,-coordination,123,0.902499999990975,0.9999999999894736,0.9499999999905,0.4628205125784221,0.0733472015020426,13.990599620368698,6.228369483820761
AI4I,-coordination,2024,0.8929999999910698,0.9999999999893616,0.9399999999905999,0.4603092781084971,0.08180252093653684,11.286548197308818,5.158801229546999
AI4I,-KG,13,0.78199999999218,0.9999999999891304,0.9199999999908,0.3833333331296875,0.04007617009299383,30.19415641084754,13.03180427544589
AI4I,-KG,42,0.8159999999918399,0.9999999999895833,0.9599999999904,0.3918367344899625,0.01841527093516943,20.804895412385015,17.53236414308761
AI4I,-KG,87,0.7989999999920099,0.9999999999893616,0.9399999999905999,0.38762886577557654,0.015590993976385399,26.681511429605298,17.79225478443168
AI4I,-KG,123,0.807499999991925,0.9999999999894736,0.9499999999905,0.3897435895397239,0.03739762550777772,30.633050662843253,13.990599620368698
AI4I,-KG,2024,0.7989999999920099,0.9999999999893616,0.9399999999905999,0.38762886577557654,0.040190668383083446,34.40790170230226,11.286548197308818
AI4I,-meta-RL,13,0.82799999999172,0.9999999999891304,0.9199999999908,0.4791666664121093,0.04007617009299383,150.9707820542377,2.212721710178356
AI4I,-meta-RL,42,0.86399999999136,0.9999999999895833,0.9599999999904,0.4897959181124531,0.01841527093516943,104.02447706192507,4.0129456572350435
AI4I,-meta-RL,87,0.84599999999154,0.9999999999893616,0.9399999999905999,0.48453608221947064,0.015590993976385399,133.40755714802648,4.116901913772672
AI4I,-meta-RL,123,0.85499999999145,0.9999999999894736,0.9499999999905,0.48717948692465485,0.03739762550777772,153.16525331421624,2.5962398481474795
AI4I,-meta-RL,2024,0.84599999999154,0.9999999999893616,0.9399999999905999,0.48453608221947064,0.040190668383083446,172.03950851151131,1.514619278923527
AI4I,PPO,13,0.6899999999930999,0.9999999999891304,0.9199999999908,0.3354166664884765,0.04007617009299383,352.9123461627131,29.095412826337668
AI4I,PPO,42,0.7199999999928,0.9999999999895833,0.9599999999904,0.34285714267871714,0.01841527093516943,212.0734311857752,42.59709242926283
AI4I,PPO,87,0.7049999999929499,0.9999999999893616,0.9399999999905999,0.33917525755362943,0.015590993976385399,300.2226714440795,43.376764353295044
AI4I,PPO,123,0.7124999999928749,0.9999999999894736,0.9499999999905,0.3410256408472584,0.03739762550777772,359.49575994264876,31.971798861106095
AI4I,PPO,2024,0.7049999999929499,0.9999999999893616,0.9399999999905999,0.33917525755362943,0.040190668383083446,416.1185255345339,23.859644591926454
AI4I,A2C,13,0.727499999992725,0.9999999999896907,0.9699999999903,0.3446700505829627,0.03968985723332845,253.21061687897128,47.99967468839348
AI4I,A2C,42,0.727499999992725,0.9999999999896907,0.9699999999903,0.3446700505829627,0.035466813708220385,320.0901466730844,40.93002721090795
AI4I,A2C,87,0.6974999999930249,0.9999999999892473,0.9299999999906999,0.33730569930360005,0.036270541186202196,412.9616487785772,48.29888640776005
AI4I,A2C,123,0.7049999999929499,0.9999999999893616,0.9399999999905999,0.33917525755362943,0.020670029428418623,494.33533198324335,42.52242575388263
AI4I,A2C,2024,0.7049999999929499,0.9999999999893616,0.9399999999905999,0.33917525755362943,0.04172845602516399,326.07054947326014,31.810381078993828
AI4I,SAC,13,0.7124999999928749,0.9999999999894736,0.9499999999905,0.3410256408472584,0.043949831549374915,364.6001716060066,24.600014992723537
AI4I,SAC,42,0.7199999999928,0.9999999999895833,0.9599999999904,0.34285714267871714,0.04537907947877126,420.9933829187024,30.789229399627523
AI4I,SAC,87,0.7049999999929499,0.9999999999893616,0.9399999999905999,0.33917525755362943,0.020007150434944283,495.4314572090699,44.77264542054001
AI4I,SAC,123,0.7199999999928,0.9999999999895833,0.9599999999904,0.34285714267871714,0.041464897362857966,326.4741891388883,44.958705475236854
AI4I,SAC,2024,0.7199999999928,0.9999999999895833,0.9599999999904,0.34285714267871714,0.04396857944984982,394.65687499086573,21.4772452909774
AI4I,Rule-based,13,0.599999999994,0.99999999999,0.99999999999,0.27499999985975,0.001,271.26236601047367,44.728355979841055
AI4I,Rule-based,42,0.599999999994,0.99999999999,0.99999999999,0.27499999985975,0.001,485.21429192297484,41.95981825434215
